;HS 1996 Product Code;HS 1996 Product Description;cluster_labels
271;2805;Alkali or alkaline-earth metals rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed mercury.;0
278;2812;Halides and halide oxides of non-metals.;0
307;2841;Salts of oxometallic or peroxometallic acids;0
312;2846;Compounds, inorganic or organic, of rate-earth metals, of yttrium or of scandium or of mixtures of these metals;0
314;2848;Phosphides, whether or not chemically defined, excluding ferrophosphorus;0
321;2904;Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated;0
330;2913;Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading No. 29.12.;0
336;2919;Phosphoric esters and their salts, including lactophosphates their halogenated, sulphonated, nitrated or nitrosated derivatives.;0
341;2924;Carboxyamide-function compounds amide-function compounds of carbonic acid.;0
344;2927;Diazo-, azo- or azoxy-compounds.;0
437;3818;Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms chemical compounds doped for use in electronics.;0
476;4007;Vulcanised rubber thread and cord.;0
506;4303;Articles of apparel, clothing accessories and other articles of furskin.;0
567;4903;Children's picture, drawing or colouring books.;0
573;4909;Printed or illustrated postcards printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings.;0
577;5002;Raw silk (not thrown).;0
578;5003;Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock).;0
579;5004;Silk yarn (other than yarn spun from silk waste) not put up for retail sale.;0
580;5005;Yarn spun from silk waste, not put up for retail sale.;0
590;5108;Yarn of fine animal hair (carded or combed), not put up for retail sale.;0
618;5311;Woven fabrics of other vegetable textile fibres woven fabrics of paper yarn.;0
642;5516;Woven fabrics of artificial staple fibres.;0
668;5901;Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like tracing cloth prepared painting canvas buckram and similar stiffened textile fabrics of a kind us;0
679;6001;Pile fabrics, including long pile fabrics and terry fabrics, knitted or crocheted.;0
738;6601;Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).;0
741;6701;Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading No. 05.05 and worked quills and scapes).;0
742;6702;Artificial flowers, foliage and fruit and parts thereof articles made of artificial flowers, foliage or fruit.;0
743;6703;Human hair, dressed, thinned, bleached or otherwise worked wool or other animal hair or other textile materials, prepared for use in making wigs or the like.;0
747;6803;Worked slate and articles of slate or of agglomerated slate.;0
776;7003;Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.;0
777;7004;Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.;0
779;7006;Glass of heading No. 70.03, 70.04 or 70.05, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials.;0
788;7015;Clock or watch glasses and similar glasses, glasses for non-corrective or corrective spectacles, curved, bent, hollowed or the like, not optically worked hollow glass spheres and their segments, for the manufacture o;0
794;7101;Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set pearls, natural or cultured, temporarily strung for convenience of transport.;0
804;7111;Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured.;0
876;7410;Copper foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.15 mm.;0
935;8106;Bismuth and articles thereof, including waste and scrap.;0
940;8111;Manganese and articles thereof, including waste and scrap.;0
955;8213;Scissors, tailors' shears and similar shears, and blades therefor.;0
956;8214;Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives) manicure or pedicure sets and instruments (including nail files).;0
957;8215;Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.;0
961;8304;Filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading No. 94.03.;0
963;8306;Bells, gongs and the like, non-electric, of base metal statuettes and other ornaments, of base metal photograph, picture or similar frames, of base metal mirrors of base metal.;0
1038;8470;Calculating machines and pocket-size data recording, reproducing and displaying machines with calculating functions accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculati;0
1041;8473;Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings Nos. 84.69 to 84.72.;0
1066;8513;Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading No. 85.12.;0
1070;8517;Electrical apparatus for line telephony or line telegraphy, including line telephone sets with cordless handsets and telecommunication apparatus for carrier-current line systems or for digital line systems videophones.;0
1074;8521;Video recording or reproducing apparatus, whether or not incorporating a video tuner.;0
1075;8522;Parts and accessories suitable for use solely or principally with the apparatus of headings Nos. 85.19 to 85.21.;0
1082;8529;Parts suitable for use solely or principally with the apparatus of headings Nos. 85.25 to 85.28.;0
1085;8532;Electrical capacitors, fixed, variable or adjustable (pre-set).;0
1087;8534;Printed circuits.;0
1094;8541;Diodes, transistors and similar semiconductor devices photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels light emitting diodes mounted piezo-el;0
1095;8542;Electronic integrated circuits and microassemblies.;0
1096;8543;Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.;0
1141;9002;Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked.;0
1145;9006;Photographic (other than cinematographic) cameras photographic flashlight apparatus and flashbulbs other than discharge lamps of heading No. 85.39.;0
1152;9013;Liquid crystal devices not constituting articles provided for more specifically in other headings lasers, other than laser diodes other optical appliances and instruments, not specified or included elsewhere in this Chapt;0
1177;9105;Other clocks.;0
1180;9108;Watch movements, complete and assembled.;0
1182;9110;Complete watch or clock movements, unassembled or partly assembled (movement sets) incomplete watch or clock movements, assembled rough watch or clock movements.;0
1183;9111;Watch cases and parts thereof.;0
1186;9114;Other clock or watch parts.;0
1213;9505;Festive, carnival or other entertainment articles, including conjuring tricks and novelty jokes.;0
1221;9605;Travel sets for personal toilet, sewing or shoe or clothes cleaning.;0
1231;9615;Combs, hair-slides and the like hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading No. 85.16, and parts thereof.;0
1233;9617;Vacuum flasks and other vacuum vessels, complete with cases parts thereof other than glass inners.;0
