,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
2,103,Live swine.,10
6,201,"Meat of bovine animals, fresh or chilled.",10
11,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen.",10
12,207,"Meat and edible offal, of the poultry of heading No. 01.05, fresh, chilled or frozen.",10
24,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",10
27,405,Butter and other fats and oils derived from milk; dairy spreads.,10
36,504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",10
38,506,"Bones and horn-cores, unworked, defatted,simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products.",10
39,507,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products.",10
48,701,"Potatoes, fresh or chilled.",10
86,1001,Wheat and meslin.,10
87,1002,Rye.,10
88,1003,Barley.,10
89,1004,Oats.,10
100,1107,"Malt, whether or not roasted.",10
101,1108,Starches; inulin.,10
107,1205,"Rape or colza seeds, whether or not broken.",10
108,1206,"Sunflower seeds, whether or not broken.",10
111,1209,"Seeds, fruit and spores, of a kind used for sowing.",10
116,1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",10
140,1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by beat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading No.15.16; inedible mixtu",10
141,1520,"Glycerol, crude; glycerol waters and glycerol lyes.",10
143,1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,10
150,1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey;",10
