,HS_code,HS_description,cluster_labels
201,2502,Unroasted iron pyrites.,1
224,2525,"Mica, including splittings; mica waste.",1
225,2526,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.",1
287,2821,Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as FE2 O3,1
289,2823,Titanium oxides,1
320,2903,Halogenated derivatives of hydrocarbons,1
323,2906,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",1
325,2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols.",1
328,2911,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",1
329,2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.",1
337,2920,"Esters of other inorganic acids (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives.",1
338,2921,Amine-function compounds.,1
339,2922,Oxygen-function amino-compounds.,1
342,2925,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds.,1
347,2930,Organo-sulphur compounds.,1
348,2931,Other organo-inorganic compounds.,1
349,2932,Heterocyclic compounds with oxygen hetero-atom(s) only.,1
351,2934,Nucleic acids and their salts; other heterocyclic compounds.,1
353,2936,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent.",1
355,2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.",1
457,3914,"Ion-exchangers based on polymers of headings Nos. 39.01 to 39.13, in primary forms.",1
615,5308,Yarn of other vegetable textile fibres; paper yarn.,1
616,5309,Woven fabrics of flax.,1
633,5507,"Artificial staple fibres, carded, combed or otherwise processed for spinning.",1
638,5512,"Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres.",1
647,5605,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading No. 54.04 or 54.05, combined with metal in the form of thread, strip or powder or covered with metal.",1
657,5801,"Woven pile fabrics and chenille fabrics, other than fabrics of heading No. 58.02 or 58.06.",1
659,5803,"Gauze, other than narrow fabrics of heading No. 58.06.",1
665,5809,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading No. 56.05, of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included.",1
757,6813,"Friction material and articles thereof (for example, sheets, rolls, strips, segments, discs, washers, pads), not",1
758,6814,"Worked mica and articles of mica, including agglomerated or reconstituted mica, whether or not on a support of paper, paperboard or other materials.",1
762,6903,"Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths and rods), other than those of siliceous fossil meals or of similar siliceous earths.",1
787,7014,"Signalling glassware and optical elements of glass (other than those of heading No. 70.15), not optically worked.",1
798,7105,Dust and powder of natural or synthetic precious or semi-precious stones.,1
838,7227,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",1
843,7303,"Tubes, pipes and hollow profiles, of cast iron.",1
930,8101,"Tungsten (wolfram) and articles thereof, including waste and scrap.",1
1013,8445,"Machines for preparing textile fibres; spinning, doubling or twisting machines and other machinery for producing textile yarns; textile reeling or winding (including weft-winding) machines and machines for preparing textile yarns for us",1
1014,8446,Weaving machines (looms).,1
1156,9017,"Drawing, marking-out or mathematical calculating instruments (e.g., drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (e.g., measuringrods a",1
1191,9205,"Other wind musical instruments (for example, clarinets, trumpets, bagpipes).",1
1194,9208,"Musical boxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this  Chapter; decoy calls of all kinds; whistles, call horns and o",1
1202,9307,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor.",1
