product_i,HS_code,HS_description,cluster_labels
2940,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading No. 29.37, 29.38 or 29.39.",8
3207,3207,"Prepared pigments, prepared and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the",8
3919,3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls.",8
4801,4801,"Newsprint, in rolls or sheets.",8
4807,4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets.",8
4810,4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or print",8
5910,5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material.",8
6804,6804,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or art",8
7109,7109,"Base metals or silver, clad with gold, not further worked than semi-manufactured.",8
7218,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,8
7221,7221,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel.",8
7224,7224,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,8
7225,7225,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",8
7226,7226,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",8
7229,7229,Wire of other alloy steel.,8
7315,7315,"Chain and parts thereof, of iron or steel.",8
7318,7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel.",8
7409,7409,"Copper plates, sheets and strip, of a thickness exceeding 0.15 mm.",8
