code_prod_arg,HS_code,HS_description,code_1719,code_0709,code_9799,vcr_1719,vcr_0709,vcr_9799,sum_vcr
101,101,"Live horses, asses, mules and hinnies.",101.0,101.0,101.0,1,1,1,3
201,201,"Meat of bovine animals, fresh or chilled.",201.0,201.0,201.0,1,1,1,3
202,202,"Meat of bovine animals, frozen.",202.0,202.0,202.0,1,1,1,3
205,205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",205.0,205.0,205.0,1,1,1,3
206,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen.",206.0,206.0,206.0,1,1,1,3
207,207,"Meat and edible offal, of the poultry of heading No. 01.05, fresh, chilled or frozen.",207.0,207.0,,1,1,0,2
208,208,"Other meat and edible meat offal, fresh, chilled or frozen.",208.0,208.0,208.0,1,1,1,3
303,303,"Fish, frozen, excluding fish fillets and other fish meat of heading No. 03.04.",303.0,303.0,303.0,1,1,1,3
304,304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",304.0,304.0,304.0,1,1,1,3
305,305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption.",,305.0,305.0,0,1,1,2
306,306,"Crustaceans, whether in shell or not, live, fresh chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and",306.0,306.0,306.0,1,1,1,3
307,307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of",307.0,307.0,307.0,1,1,1,3
402,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",402.0,402.0,402.0,1,1,1,3
404,404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere s",404.0,404.0,,1,1,0,2
405,405,Butter and other fats and oils derived from milk; dairy spreads.,405.0,405.0,,1,1,0,2
406,406,Cheese and curd.,406.0,406.0,406.0,1,1,1,3
408,408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter.",408.0,408.0,408.0,1,1,1,3
409,409,Natural honey.,409.0,409.0,409.0,1,1,1,3
503,503,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",,,503.0,0,0,1,1
504,504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",504.0,504.0,,1,1,0,2
505,505,"Shins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disingected or treated for preservation; powder and waste of feat",505.0,505.0,,1,1,0,2
506,506,"Bones and horn-cores, unworked, defatted,simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products.",506.0,506.0,506.0,1,1,1,3
510,510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",510.0,510.0,510.0,1,1,1,3
511,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",511.0,511.0,511.0,1,1,1,3
703,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",703.0,703.0,703.0,1,1,1,3
711,711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",711.0,711.0,711.0,1,1,1,3
712,712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",,,712.0,0,0,1,1
713,713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",713.0,713.0,713.0,1,1,1,3
805,805,"Citrus fruit, fresh or dried.",805.0,805.0,805.0,1,1,1,3
806,806,"Grapes, fresh or dried.",806.0,806.0,806.0,1,1,1,3
808,808,"Apples, pears and quinces, fresh.",808.0,808.0,808.0,1,1,1,3
809,809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",809.0,809.0,809.0,1,1,1,3
810,810,"Other fruit, fresh.",810.0,810.0,,1,1,0,2
811,811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",,811.0,,0,1,0,1
813,813,"Fruit, dried, other than that of headings Nos. 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",813.0,813.0,813.0,1,1,1,3
814,814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,814.0,,0,1,0,1
902,902,"Tea, whether or not flavoured.",902.0,902.0,902.0,1,1,1,3
903,903,Mate,903.0,903.0,903.0,1,1,1,3
909,909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",909.0,,,1,0,0,1
1001,1001,Wheat and meslin.,1001.0,1001.0,1001.0,1,1,1,3
1003,1003,Barley.,1003.0,1003.0,1003.0,1,1,1,3
1005,1005,Maize (corn).,1005.0,1005.0,1005.0,1,1,1,3
1006,1006,Rice.,1006.0,1006.0,1006.0,1,1,1,3
1007,1007,Grain sorghum.,1007.0,1007.0,1007.0,1,1,1,3
1008,1008,"Buckwheat, millet and canary seed; other cereals.",1008.0,1008.0,1008.0,1,1,1,3
1101,1101,Wheat or meslin flour.,1101.0,1101.0,1101.0,1,1,1,3
1102,1102,Cereal flours other than of wheat or meslin.,,1102.0,1102.0,0,1,1,2
1103,1103,"Cereal groats, meal and pellets.",1103.0,1103.0,1103.0,1,1,1,3
1104,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading No. 10.06; germ of cereals, whole, rolled, flaked or ground.",1104.0,1104.0,1104.0,1,1,1,3
1105,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",,1105.0,,0,1,0,1
1107,1107,"Malt, whether or not roasted.",1107.0,1107.0,1107.0,1,1,1,3
1108,1108,Starches; inulin.,1108.0,1108.0,,1,1,0,2
1201,1201,"Soya beans, whether or not broken.",1201.0,1201.0,1201.0,1,1,1,3
1202,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",1202.0,1202.0,1202.0,1,1,1,3
1204,1204,"Linseed, whether or not broken.",1204.0,1204.0,,1,1,0,2
1206,1206,"Sunflower seeds, whether or not broken.",1206.0,1206.0,1206.0,1,1,1,3
1207,1207,"Other oil seeds and oleaginous fruits, whether or not broken.",1207.0,1207.0,1207.0,1,1,1,3
1208,1208,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.",1208.0,,,1,0,0,1
1209,1209,"Seeds, fruit and spores, of a kind used for sowing.",1209.0,,,1,0,0,1
