Code          Description
A             Agricultura, ganadería, caza y silvicultura
01            Agricultura, ganadería, caza y actividades de servicios conexas
011           Cultivos en general; cultivo de productos de mercado; horticultura
0111          Cultivo de cereales y otros cultivos n.c.p.
0112          Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero
0113          Cultivo de frutas, nueces, plantas cuyas hojas o frutas se utilizan para preparar bebidas, y especias
012           Cría de animales
0121          Cría de ganado vacuno y de ovejas, cabras, caballos, asnos, mulas y burdéganos; cría de ganado lechero
0122          Cría de otros animales; elaboración de productos animales n.c.p.
013           Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
0130          Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
014           Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias
0140          Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias
015           Caza ordinaria y mediante trampas, y repoblación de animales de caza, incluso las actividades de servicios conexas
0150          Caza ordinaria y mediante trampas, y repoblación de animales de caza, incluso las actividades de servicios conexas
02            Silvicultura, extracción de madera y actividades de servicios conexas
020           Silvicultura, extracción de madera y actividades de servicios conexas
0200          Silvicultura, extracción de madera y actividades de servicios conexas
B             Pesca
05            Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca
050           Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca
0500          Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca
C             Explotación de minas y canteras
10            Extracción de carbón y lignito; extracción de turba
101           Extracción y aglomeración de carbón de piedra
1010          Extracción y aglomeración de carbón de piedra
102           Extracción y aglomeración de lignito
1020          Extracción y aglomeración de lignito
103           Extracción y aglomeración de turba
1030          Extracción y aglomeración de turba
11            Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección
111           Extracción de petróleo crudo y gas natural
1110          Extracción de petróleo crudo y gas natural
112           Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección
1120          Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección
12            Extracción de minerales de uranio y torio
120           Extracción de minerales de uranio y torio
1200          Extracción de minerales de uranio y torio
13            Extracción de minerales metalíferos
131           Extracción de minerales de hierro
1310          Extracción de minerales de hierro
132           Extracción de minerales metalíferos no ferrosos, excepto los minerales de uranio y torio
1320          Extracción de minerales metalíferos no ferrosos, excepto los minerales de uranio y torio
14            Explotación de otras minas y canteras
141           Extracción de piedra, arena y arcilla
1410          Extracción de piedra, arena y arcilla
142           Explotación de minas y canteras n.c.p.
1421          Extracción de minerales para la fabricación de abonos y productos químicos
1422          Extracción de sal
1429          Explotación de otras minas y canteras n.c.p.
D             Industrias manufactureras
15            Elaboración de productos alimenticios y bebidas
151           Producción, procesamiento y conservación de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas
1511          Producción, procesamiento y conservación de carne y productos cárnicos
1512          Elaboración y conservación de pescado y productos de pescado
1513          Elaboración y conservación de frutas, legumbres y hortalizas
1514          Elaboración de aceites y grasas de origen vegetal y animal
152           Elaboración de productos lácteos
1520          Elaboración de productos lácteos
153           Elaboración de productos de molinería, almidones y productos derivados del almidón, y de alimentos preparados para animales
1531          Elaboración de productos de molinería
1532          Elaboración de almidones y productos derivados del almidón
1533          Elaboración de alimentos preparados para animales
154           Elaboración de otros productos alimenticios
1541          Elaboración de productos de panadería
1542          Elaboración de azúcar
1543          Elaboración de cacao y chocolate y de productos de confitería
1544          Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares
1549          Elaboración de otros productos alimenticios n.c.p.
155           Elaboración de bebidas
1551          Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas
1552          Elaboración de vinos
1553          Elaboración de bebidas malteadas y de malta
1554          Elaboración de bebidas no alcohólicas; producción de aguas minerales
16            Elaboración de productos de tabaco
160           Elaboración de productos de tabaco
1600          Elaboración de productos de tabaco
17            Fabricación de productos textiles
171           Hilatura, tejedura y acabado de productos textiles
1711          Preparación e hilatura de fibras textiles; tejedura de productos textiles
1712          Acabado de productos textiles
172           Fabricación de otros productos textiles
1721          Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir
1722          Fabricación de tapices y alfombras
1723          Fabricación de cuerdas, cordeles, bramantes y redes
1729          Fabricación de otros productos textiles n.c.p.
173           Fabricación de tejidos y artículos de punto y ganchillo
1730          Fabricación de tejidos y artículos de punto y ganchillo
18            Fabricación de prendas de vestir; adobo y teñido de pieles
181           Fabricación de prendas de vestir, excepto prendas de piel
1810          Fabricación de prendas de vestir, excepto prendas de piel
182           Adobo y teñido de pieles; fabricación de artículos de piel
1820          Adobo y teñido de pieles; fabricación de artículos de piel
19            Curtido y adobo de cueros; fabricación de maletas, bolsos de mano, artículos de talabartería y guarnicionaría, y calzado
191           Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería
1911          Curtido y adobo de cueros
1912          Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería
192           Fabricación de calzado
1920          Fabricación de calzado
20            Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables
201           Aserrado y acepilladura de madera
2010          Aserrado y acepilladura de madera
202           Fabricación de productos de madera, corcho, paja y materiales trenzables
2021          Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles
2022          Fabricación de partes y piezas de carpintería para edificios y construcciones
2023          Fabricación de recipientes de madera
2029          Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables
21            Fabricación de papel y de productos de papel
210           Fabricación de papel y de productos de papel
2101          Fabricación de pasta de madera, papel y cartón
2102          Fabricación de papel y cartón ondulado y de envases de papel y cartón
2109          Fabricación de otros artículos de papel y cartón
22            Actividades de edición e impresión y de reproducción de grabaciones
221           Actividades de edición
2211          Edición de libros, folletos, partituras y otras publicaciones
2212          Edición de periódicos, revistas y publicaciones periódicas
2213          Edición de grabaciones
2219          Otras actividades de edición
222           Actividades de impresión y actividades de servicios conexas
2221          Actividades de impresión
2222          Actividades de servicios relacionadas con la impresión
223           Reproducción de grabaciones
2230          Reproducción de grabaciones
23            Fabricación de coque, productos de la refinación del petróleo y combustible nuclear
231           Fabricación de productos de hornos de coque
2310          Fabricación de productos de hornos de coque
232           Fabricación de productos de la refinación del petróleo
2320          Fabricación de productos de la refinación del petróleo
233           Elaboración de combustible nuclear
2330          Elaboración de combustible nuclear
24            Fabricación de sustancias y productos químicos
241           Fabricación de sustancias químicas básicas
2411          Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno
2412          Fabricación de abonos y compuestos de nitrógeno
2413          Fabricación de plásticos en formas primarias y de caucho sintítico
242           Fabricación de otros productos químicos
2421          Fabricación de plaguicidas y otros productos químicos de uso agropecuario
2422          Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas
2423          Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos
2424          Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador
2429          Fabricación de otros productos químicos n.c.p.
243           Fabricación de fibras manufacturadas
2430          Fabricación de fibras manufacturadas
25            Fabricación de productos de caucho y plástico
251           Fabricación de productos de caucho
2511          Fabricación de cubiertas y cámaras de caucho; recauchado y renovación de cubiertas de caucho
2519          Fabricación de otros productos de caucho
252           Fabricación de productos de plástico
2520          Fabricación de productos de plástico
26            Fabricación de otros productos minerales no metálicos
261           Fabricación de vidrio y productos de vidrio
2610          Fabricación de vidrio y productos de vidrio
269           Fabricación de productos minerales no metálicos n.c.p.
2691          Fabricación de productos de cerámica no refractaria para uso no estructural
2692          Fabricación de productos de cerámica refractaria
2693          Fabricación de productos de arcilla y cerámica no refractarias para uso estructural
2694          Fabricación de cemento, cal y yeso
2695          Fabricación de artículos de hormigón, cemento y yeso
2696          Corte, tallado y acabado de la piedra
2699          Fabricación de otros productos minerales no metálicos n.c.p.
27            Fabricación de metales comunes
