"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","ALB","0101","Albania","WLD"," World",1997,"Export",6,14.538
"H1","ALB","0105","Albania","WLD"," World",1997,"Export",6,10.612
"H1","ALB","0106","Albania","WLD"," World",1997,"Export",6,34.767
"H1","ALB","0206","Albania","WLD"," World",1997,"Export",6,18.225
"H1","ALB","0207","Albania","WLD"," World",1997,"Export",6,105.227
"H1","ALB","0208","Albania","WLD"," World",1997,"Export",6,20.7
"H1","ALB","0301","Albania","WLD"," World",1997,"Export",6,17.177
"H1","ALB","0302","Albania","WLD"," World",1997,"Export",6,973.311
"H1","ALB","0303","Albania","WLD"," World",1997,"Export",6,31.251
"H1","ALB","0304","Albania","WLD"," World",1997,"Export",6,2.862
"H1","ALB","0305","Albania","WLD"," World",1997,"Export",6,46.739
"H1","ALB","0306","Albania","WLD"," World",1997,"Export",6,94.546
"H1","ALB","0307","Albania","WLD"," World",1997,"Export",6,2386.288
"H1","ALB","0508","Albania","WLD"," World",1997,"Export",6,131.718
"H1","ALB","0602","Albania","WLD"," World",1997,"Export",6,202.088
"H1","ALB","0603","Albania","WLD"," World",1997,"Export",6,56.703
"H1","ALB","0604","Albania","WLD"," World",1997,"Export",6,31.127
"H1","ALB","0702","Albania","WLD"," World",1997,"Export",6,27.791
"H1","ALB","0703","Albania","WLD"," World",1997,"Export",6,0.062
"H1","ALB","0705","Albania","WLD"," World",1997,"Export",6,18.706
"H1","ALB","0706","Albania","WLD"," World",1997,"Export",6,2.5
"H1","ALB","0708","Albania","WLD"," World",1997,"Export",6,1300.145
"H1","ALB","0709","Albania","WLD"," World",1997,"Export",6,8.961
"H1","ALB","0710","Albania","WLD"," World",1997,"Export",6,102.964
"H1","ALB","0711","Albania","WLD"," World",1997,"Export",6,20.455
"H1","ALB","0712","Albania","WLD"," World",1997,"Export",6,60.763
"H1","ALB","0713","Albania","WLD"," World",1997,"Export",6,229.158
"H1","ALB","0802","Albania","WLD"," World",1997,"Export",6,309.96
"H1","ALB","0804","Albania","WLD"," World",1997,"Export",6,6.852
"H1","ALB","0807","Albania","WLD"," World",1997,"Export",6,4.371
"H1","ALB","0808","Albania","WLD"," World",1997,"Export",6,3.891
"H1","ALB","0810","Albania","WLD"," World",1997,"Export",6,1.441
"H1","ALB","0811","Albania","WLD"," World",1997,"Export",6,9.059
"H1","ALB","0813","Albania","WLD"," World",1997,"Export",6,10.418
"H1","ALB","0901","Albania","WLD"," World",1997,"Export",6,25.238
"H1","ALB","0910","Albania","WLD"," World",1997,"Export",6,329.589
"H1","ALB","1005","Albania","WLD"," World",1997,"Export",6,6.037
"H1","ALB","1203","Albania","WLD"," World",1997,"Export",6,7.048
"H1","ALB","1207","Albania","WLD"," World",1997,"Export",6,71.264
"H1","ALB","1209","Albania","WLD"," World",1997,"Export",6,40.77
"H1","ALB","1210","Albania","WLD"," World",1997,"Export",6,0.815
"H1","ALB","1211","Albania","WLD"," World",1997,"Export",6,11664.107
"H1","ALB","1212","Albania","WLD"," World",1997,"Export",6,36.6
"H1","ALB","1214","Albania","WLD"," World",1997,"Export",6,13.754
"H1","ALB","1301","Albania","WLD"," World",1997,"Export",6,14.682
"H1","ALB","1302","Albania","WLD"," World",1997,"Export",6,97.961
"H1","ALB","1509","Albania","WLD"," World",1997,"Export",6,23.631
"H1","ALB","1515","Albania","WLD"," World",1997,"Export",6,19.783
"H1","ALB","1604","Albania","WLD"," World",1997,"Export",6,1979.379
"H1","ALB","1702","Albania","WLD"," World",1997,"Export",6,16.517
"H1","ALB","1801","Albania","WLD"," World",1997,"Export",6,3.447
"H1","ALB","2001","Albania","WLD"," World",1997,"Export",6,1.553
"H1","ALB","2002","Albania","WLD"," World",1997,"Export",6,39.393
"H1","ALB","2005","Albania","WLD"," World",1997,"Export",6,2.127
"H1","ALB","2007","Albania","WLD"," World",1997,"Export",6,6.508
"H1","ALB","2009","Albania","WLD"," World",1997,"Export",6,1.65
"H1","ALB","2101","Albania","WLD"," World",1997,"Export",6,1.972
"H1","ALB","2103","Albania","WLD"," World",1997,"Export",6,290.553
"H1","ALB","2208","Albania","WLD"," World",1997,"Export",6,6.758
"H1","ALB","2309","Albania","WLD"," World",1997,"Export",6,125.749
"H1","ALB","2401","Albania","WLD"," World",1997,"Export",6,737.918
"H1","ALB","2403","Albania","WLD"," World",1997,"Export",6,5676.233
"H1","ALB","2501","Albania","WLD"," World",1997,"Export",6,106.792
"H1","ALB","2503","Albania","WLD"," World",1997,"Export",6,5.552
"H1","ALB","2505","Albania","WLD"," World",1997,"Export",6,0.566
"H1","ALB","2513","Albania","WLD"," World",1997,"Export",6,4.63
"H1","ALB","2515","Albania","WLD"," World",1997,"Export",6,22.709
"H1","ALB","2516","Albania","WLD"," World",1997,"Export",6,3.118
"H1","ALB","2523","Albania","WLD"," World",1997,"Export",6,2.202
"H1","ALB","2527","Albania","WLD"," World",1997,"Export",6,0.1
"H1","ALB","2601","Albania","WLD"," World",1997,"Export",6,143.884
"H1","ALB","2610","Albania","WLD"," World",1997,"Export",6,4546.025
"H1","ALB","2620","Albania","WLD"," World",1997,"Export",6,262.321
"H1","ALB","2621","Albania","WLD"," World",1997,"Export",6,2.468
"H1","ALB","2701","Albania","WLD"," World",1997,"Export",6,164.939
"H1","ALB","2702","Albania","WLD"," World",1997,"Export",6,7.779
