"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","CHE","0101","Switzerland","WLD"," World",1997,"Export",6,2768.597
"H1","CHE","0102","Switzerland","WLD"," World",1997,"Export",6,22.275
"H1","CHE","0103","Switzerland","WLD"," World",1997,"Export",6,18.342
"H1","CHE","0104","Switzerland","WLD"," World",1997,"Export",6,123.232
"H1","CHE","0106","Switzerland","WLD"," World",1997,"Export",6,2108.301
"H1","CHE","0201","Switzerland","WLD"," World",1997,"Export",6,189.405
"H1","CHE","0202","Switzerland","WLD"," World",1997,"Export",6,1773.457
"H1","CHE","0203","Switzerland","WLD"," World",1997,"Export",6,45.299
"H1","CHE","0206","Switzerland","WLD"," World",1997,"Export",6,88.698
"H1","CHE","0207","Switzerland","WLD"," World",1997,"Export",6,692.643
"H1","CHE","0208","Switzerland","WLD"," World",1997,"Export",6,124.361
"H1","CHE","0209","Switzerland","WLD"," World",1997,"Export",6,19.81
"H1","CHE","0210","Switzerland","WLD"," World",1997,"Export",6,13208.542
"H1","CHE","0301","Switzerland","WLD"," World",1997,"Export",6,7.968
"H1","CHE","0302","Switzerland","WLD"," World",1997,"Export",6,116.751
"H1","CHE","0303","Switzerland","WLD"," World",1997,"Export",6,82.73
"H1","CHE","0304","Switzerland","WLD"," World",1997,"Export",6,146.802
"H1","CHE","0305","Switzerland","WLD"," World",1997,"Export",6,808.978
"H1","CHE","0306","Switzerland","WLD"," World",1997,"Export",6,213.402
"H1","CHE","0307","Switzerland","WLD"," World",1997,"Export",6,79.987
"H1","CHE","0401","Switzerland","WLD"," World",1997,"Export",6,3862.353
"H1","CHE","0402","Switzerland","WLD"," World",1997,"Export",6,8483.884
"H1","CHE","0403","Switzerland","WLD"," World",1997,"Export",6,1855.85
"H1","CHE","0404","Switzerland","WLD"," World",1997,"Export",6,3380.929
"H1","CHE","0405","Switzerland","WLD"," World",1997,"Export",6,1.974
"H1","CHE","0406","Switzerland","WLD"," World",1997,"Export",6,362300.096
"H1","CHE","0407","Switzerland","WLD"," World",1997,"Export",6,0.844
"H1","CHE","0408","Switzerland","WLD"," World",1997,"Export",6,11.929
"H1","CHE","0409","Switzerland","WLD"," World",1997,"Export",6,1107.095
"H1","CHE","0410","Switzerland","WLD"," World",1997,"Export",6,38.915
"H1","CHE","0502","Switzerland","WLD"," World",1997,"Export",6,90.633
"H1","CHE","0503","Switzerland","WLD"," World",1997,"Export",6,1049.086
"H1","CHE","0504","Switzerland","WLD"," World",1997,"Export",6,6810.428
"H1","CHE","0505","Switzerland","WLD"," World",1997,"Export",6,254.292
"H1","CHE","0506","Switzerland","WLD"," World",1997,"Export",6,2631.043
"H1","CHE","0507","Switzerland","WLD"," World",1997,"Export",6,1.227
"H1","CHE","0508","Switzerland","WLD"," World",1997,"Export",6,20.988
"H1","CHE","0509","Switzerland","WLD"," World",1997,"Export",6,246.321
"H1","CHE","0510","Switzerland","WLD"," World",1997,"Export",6,210.387
"H1","CHE","0511","Switzerland","WLD"," World",1997,"Export",6,3926.165
"H1","CHE","0601","Switzerland","WLD"," World",1997,"Export",6,31.426
"H1","CHE","0602","Switzerland","WLD"," World",1997,"Export",6,2102.751
"H1","CHE","0603","Switzerland","WLD"," World",1997,"Export",6,48.076
"H1","CHE","0604","Switzerland","WLD"," World",1997,"Export",6,10.552
"H1","CHE","0701","Switzerland","WLD"," World",1997,"Export",6,471.809
"H1","CHE","0703","Switzerland","WLD"," World",1997,"Export",6,230.621
"H1","CHE","0704","Switzerland","WLD"," World",1997,"Export",6,1.275
"H1","CHE","0705","Switzerland","WLD"," World",1997,"Export",6,26.354
"H1","CHE","0706","Switzerland","WLD"," World",1997,"Export",6,1.415
"H1","CHE","0707","Switzerland","WLD"," World",1997,"Export",6,24.98
"H1","CHE","0709","Switzerland","WLD"," World",1997,"Export",6,439.734
"H1","CHE","0710","Switzerland","WLD"," World",1997,"Export",6,174.037
"H1","CHE","0711","Switzerland","WLD"," World",1997,"Export",6,63.151
"H1","CHE","0712","Switzerland","WLD"," World",1997,"Export",6,2084.229
"H1","CHE","0713","Switzerland","WLD"," World",1997,"Export",6,20.267
"H1","CHE","0801","Switzerland","WLD"," World",1997,"Export",6,99.564
"H1","CHE","0802","Switzerland","WLD"," World",1997,"Export",6,2052.817
"H1","CHE","0803","Switzerland","WLD"," World",1997,"Export",6,0.948
"H1","CHE","0804","Switzerland","WLD"," World",1997,"Export",6,132.96
"H1","CHE","0805","Switzerland","WLD"," World",1997,"Export",6,18.328
"H1","CHE","0806","Switzerland","WLD"," World",1997,"Export",6,63.03
"H1","CHE","0807","Switzerland","WLD"," World",1997,"Export",6,48.95
"H1","CHE","0808","Switzerland","WLD"," World",1997,"Export",6,1116.88
"H1","CHE","0809","Switzerland","WLD"," World",1997,"Export",6,82.959
"H1","CHE","0810","Switzerland","WLD"," World",1997,"Export",6,53.69
"H1","CHE","0811","Switzerland","WLD"," World",1997,"Export",6,212.102
"H1","CHE","0812","Switzerland","WLD"," World",1997,"Export",6,0.139
"H1","CHE","0813","Switzerland","WLD"," World",1997,"Export",6,251.335
"H1","CHE","0814","Switzerland","WLD"," World",1997,"Export",6,30.577
"H1","CHE","0901","Switzerland","WLD"," World",1997,"Export",6,16228.048
"H1","CHE","0902","Switzerland","WLD"," World",1997,"Export",6,4463.7
"H1","CHE","0903","Switzerland","WLD"," World",1997,"Export",6,9.185
"H1","CHE","0904","Switzerland","WLD"," World",1997,"Export",6,503.555
"H1","CHE","0905","Switzerland","WLD"," World",1997,"Export",6,33.021
"H1","CHE","0906","Switzerland","WLD"," World",1997,"Export",6,52.95
"H1","CHE","0907","Switzerland","WLD"," World",1997,"Export",6,17.409
"H1","CHE","0908","Switzerland","WLD"," World",1997,"Export",6,180.978
"H1","CHE","0909","Switzerland","WLD"," World",1997,"Export",6,74.473
"H1","CHE","0910","Switzerland","WLD"," World",1997,"Export",6,2815.063
"H1","CHE","1001","Switzerland","WLD"," World",1997,"Export",6,57.896
"H1","CHE","1003","Switzerland","WLD"," World",1997,"Export",6,9.655
"H1","CHE","1004","Switzerland","WLD"," World",1997,"Export",6,2.71
"H1","CHE","1005","Switzerland","WLD"," World",1997,"Export",6,170.801
"H1","CHE","1006","Switzerland","WLD"," World",1997,"Export",6,574.313
"H1","CHE","1008","Switzerland","WLD"," World",1997,"Export",6,11.684
"H1","CHE","1101","Switzerland","WLD"," World",1997,"Export",6,355.892
"H1","CHE","1102","Switzerland","WLD"," World",1997,"Export",6,457.431
"H1","CHE","1103","Switzerland","WLD"," World",1997,"Export",6,453.36
"H1","CHE","1104","Switzerland","WLD"," World",1997,"Export",6,1226.271
"H1","CHE","1105","Switzerland","WLD"," World",1997,"Export",6,116.624
"H1","CHE","1106","Switzerland","WLD"," World",1997,"Export",6,430.121
"H1","CHE","1107","Switzerland","WLD"," World",1997,"Export",6,8.629
"H1","CHE","1108","Switzerland","WLD"," World",1997,"Export",6,208.955
"H1","CHE","1109","Switzerland","WLD"," World",1997,"Export",6,21.417
"H1","CHE","1201","Switzerland","WLD"," World",1997,"Export",6,541.443
"H1","CHE","1202","Switzerland","WLD"," World",1997,"Export",6,6.744
"H1","CHE","1204","Switzerland","WLD"," World",1997,"Export",6,7.014
"H1","CHE","1206","Switzerland","WLD"," World",1997,"Export",6,41.501
"H1","CHE","1207","Switzerland","WLD"," World",1997,"Export",6,422.315
"H1","CHE","1208","Switzerland","WLD"," World",1997,"Export",6,15.473
"H1","CHE","1209","Switzerland","WLD"," World",1997,"Export",6,2829.624
"H1","CHE","1210","Switzerland","WLD"," World",1997,"Export",6,237.418
"H1","CHE","1211","Switzerland","WLD"," World",1997,"Export",6,896.876
"H1","CHE","1212","Switzerland","WLD"," World",1997,"Export",6,93.331
"H1","CHE","1213","Switzerland","WLD"," World",1997,"Export",6,420.523
"H1","CHE","1214","Switzerland","WLD"," World",1997,"Export",6,1686.951
"H1","CHE","1301","Switzerland","WLD"," World",1997,"Export",6,216.974
"H1","CHE","1302","Switzerland","WLD"," World",1997,"Export",6,68515.392
"H1","CHE","1401","Switzerland","WLD"," World",1997,"Export",6,13.144
"H1","CHE","1402","Switzerland","WLD"," World",1997,"Export",6,8.141
"H1","CHE","1403","Switzerland","WLD"," World",1997,"Export",6,7.806
"H1","CHE","1404","Switzerland","WLD"," World",1997,"Export",6,103.214
"H1","CHE","1501","Switzerland","WLD"," World",1997,"Export",6,44.204
"H1","CHE","1502","Switzerland","WLD"," World",1997,"Export",6,71.971
"H1","CHE","1504","Switzerland","WLD"," World",1997,"Export",6,54.161
"H1","CHE","1505","Switzerland","WLD"," World",1997,"Export",6,57.291
"H1","CHE","1506","Switzerland","WLD"," World",1997,"Export",6,4.696
"H1","CHE","1507","Switzerland","WLD"," World",1997,"Export",6,6311.27
"H1","CHE","1508","Switzerland","WLD"," World",1997,"Export",6,39.516
"H1","CHE","1509","Switzerland","WLD"," World",1997,"Export",6,147.971
"H1","CHE","1510","Switzerland","WLD"," World",1997,"Export",6,3.113
"H1","CHE","1512","Switzerland","WLD"," World",1997,"Export",6,538.732
"H1","CHE","1513","Switzerland","WLD"," World",1997,"Export",6,18.276
"H1","CHE","1514","Switzerland","WLD"," World",1997,"Export",6,5.828
"H1","CHE","1515","Switzerland","WLD"," World",1997,"Export",6,6060.659
"H1","CHE","1516","Switzerland","WLD"," World",1997,"Export",6,261.869
"H1","CHE","1517","Switzerland","WLD"," World",1997,"Export",6,1252.992
"H1","CHE","1518","Switzerland","WLD"," World",1997,"Export",6,3815.7
"H1","CHE","1520","Switzerland","WLD"," World",1997,"Export",6,428.779
"H1","CHE","1521","Switzerland","WLD"," World",1997,"Export",6,95.378
"H1","CHE","1522","Switzerland","WLD"," World",1997,"Export",6,0.937
"H1","CHE","1601","Switzerland","WLD"," World",1997,"Export",6,144.219
"H1","CHE","1602","Switzerland","WLD"," World",1997,"Export",6,1173.923
"H1","CHE","1603","Switzerland","WLD"," World",1997,"Export",6,53.405
"H1","CHE","1604","Switzerland","WLD"," World",1997,"Export",6,1603.159
"H1","CHE","1605","Switzerland","WLD"," World",1997,"Export",6,174.123
"H1","CHE","1701","Switzerland","WLD"," World",1997,"Export",6,528.287
"H1","CHE","1702","Switzerland","WLD"," World",1997,"Export",6,3279.031
"H1","CHE","1703","Switzerland","WLD"," World",1997,"Export",6,87.989
"H1","CHE","1704","Switzerland","WLD"," World",1997,"Export",6,74915.64
"H1","CHE","1801","Switzerland","WLD"," World",1997,"Export",6,6.893
"H1","CHE","1803","Switzerland","WLD"," World",1997,"Export",6,5362.225
"H1","CHE","1804","Switzerland","WLD"," World",1997,"Export",6,620.585
"H1","CHE","1805","Switzerland","WLD"," World",1997,"Export",6,228.379
"H1","CHE","1806","Switzerland","WLD"," World",1997,"Export",6,274340.352
"H1","CHE","1901","Switzerland","WLD"," World",1997,"Export",6,86712.936
"H1","CHE","1902","Switzerland","WLD"," World",1997,"Export",6,28319.288
"H1","CHE","1903","Switzerland","WLD"," World",1997,"Export",6,0.079
"H1","CHE","1904","Switzerland","WLD"," World",1997,"Export",6,23554.77
"H1","CHE","1905","Switzerland","WLD"," World",1997,"Export",6,69711.872
"H1","CHE","2001","Switzerland","WLD"," World",1997,"Export",6,434.474
"H1","CHE","2002","Switzerland","WLD"," World",1997,"Export",6,7431.902
"H1","CHE","2003","Switzerland","WLD"," World",1997,"Export",6,188.455
"H1","CHE","2004","Switzerland","WLD"," World",1997,"Export",6,433.436
"H1","CHE","2005","Switzerland","WLD"," World",1997,"Export",6,3845.392
"H1","CHE","2006","Switzerland","WLD"," World",1997,"Export",6,460.778
"H1","CHE","2007","Switzerland","WLD"," World",1997,"Export",6,14152.466
"H1","CHE","2008","Switzerland","WLD"," World",1997,"Export",6,14722.648
"H1","CHE","2009","Switzerland","WLD"," World",1997,"Export",6,11156.511
"H1","CHE","2101","Switzerland","WLD"," World",1997,"Export",6,93811.96
"H1","CHE","2102","Switzerland","WLD"," World",1997,"Export",6,7167.935
"H1","CHE","2103","Switzerland","WLD"," World",1997,"Export",6,58695.684
"H1","CHE","2104","Switzerland","WLD"," World",1997,"Export",6,54054.528
"H1","CHE","2105","Switzerland","WLD"," World",1997,"Export",6,5121.547
"H1","CHE","2106","Switzerland","WLD"," World",1997,"Export",6,236482.864
"H1","CHE","2201","Switzerland","WLD"," World",1997,"Export",6,3602.262
"H1","CHE","2202","Switzerland","WLD"," World",1997,"Export",6,43080.744
"H1","CHE","2203","Switzerland","WLD"," World",1997,"Export",6,2849.414
"H1","CHE","2204","Switzerland","WLD"," World",1997,"Export",6,65180.904
"H1","CHE","2205","Switzerland","WLD"," World",1997,"Export",6,264.254
"H1","CHE","2206","Switzerland","WLD"," World",1997,"Export",6,94.758
"H1","CHE","2207","Switzerland","WLD"," World",1997,"Export",6,712.401
"H1","CHE","2208","Switzerland","WLD"," World",1997,"Export",6,17809.42
"H1","CHE","2209","Switzerland","WLD"," World",1997,"Export",6,634.609
"H1","CHE","2301","Switzerland","WLD"," World",1997,"Export",6,6332.57
"H1","CHE","2302","Switzerland","WLD"," World",1997,"Export",6,89.988
"H1","CHE","2303","Switzerland","WLD"," World",1997,"Export",6,42.685
"H1","CHE","2304","Switzerland","WLD"," World",1997,"Export",6,6.794
"H1","CHE","2306","Switzerland","WLD"," World",1997,"Export",6,369.66
"H1","CHE","2307","Switzerland","WLD"," World",1997,"Export",6,27.075
"H1","CHE","2308","Switzerland","WLD"," World",1997,"Export",6,37.683
"H1","CHE","2309","Switzerland","WLD"," World",1997,"Export",6,92179.336
"H1","CHE","2401","Switzerland","WLD"," World",1997,"Export",6,52294.82
"H1","CHE","2402","Switzerland","WLD"," World",1997,"Export",6,271172.192
"H1","CHE","2403","Switzerland","WLD"," World",1997,"Export",6,26164.908
"H1","CHE","2501","Switzerland","WLD"," World",1997,"Export",6,2212.498
"H1","CHE","2502","Switzerland","WLD"," World",1997,"Export",6,166.544
"H1","CHE","2503","Switzerland","WLD"," World",1997,"Export",6,153.943
"H1","CHE","2504","Switzerland","WLD"," World",1997,"Export",6,91.865
"H1","CHE","2505","Switzerland","WLD"," World",1997,"Export",6,3065.016
"H1","CHE","2506","Switzerland","WLD"," World",1997,"Export",6,4684.5
"H1","CHE","2507","Switzerland","WLD"," World",1997,"Export",6,151.271
"H1","CHE","2508","Switzerland","WLD"," World",1997,"Export",6,353.614
"H1","CHE","2509","Switzerland","WLD"," World",1997,"Export",6,24.751
"H1","CHE","2510","Switzerland","WLD"," World",1997,"Export",6,1.062
"H1","CHE","2512","Switzerland","WLD"," World",1997,"Export",6,398.517
"H1","CHE","2513","Switzerland","WLD"," World",1997,"Export",6,217.803
"H1","CHE","2514","Switzerland","WLD"," World",1997,"Export",6,43.547
"H1","CHE","2515","Switzerland","WLD"," World",1997,"Export",6,198.641
"H1","CHE","2516","Switzerland","WLD"," World",1997,"Export",6,9286.05
"H1","CHE","2517","Switzerland","WLD"," World",1997,"Export",6,1777.492
"H1","CHE","2518","Switzerland","WLD"," World",1997,"Export",6,2.922
"H1","CHE","2519","Switzerland","WLD"," World",1997,"Export",6,91.263
"H1","CHE","2520","Switzerland","WLD"," World",1997,"Export",6,932.071
"H1","CHE","2521","Switzerland","WLD"," World",1997,"Export",6,17.916
"H1","CHE","2522","Switzerland","WLD"," World",1997,"Export",6,111.919
"H1","CHE","2523","Switzerland","WLD"," World",1997,"Export",6,7765.371
"H1","CHE","2524","Switzerland","WLD"," World",1997,"Export",6,3.252
"H1","CHE","2525","Switzerland","WLD"," World",1997,"Export",6,51.472
"H1","CHE","2526","Switzerland","WLD"," World",1997,"Export",6,813.509
"H1","CHE","2529","Switzerland","WLD"," World",1997,"Export",6,4.758
"H1","CHE","2530","Switzerland","WLD"," World",1997,"Export",6,268.205
"H1","CHE","2601","Switzerland","WLD"," World",1997,"Export",6,9.182
"H1","CHE","2602","Switzerland","WLD"," World",1997,"Export",6,21.672
"H1","CHE","2605","Switzerland","WLD"," World",1997,"Export",6,1.906
"H1","CHE","2608","Switzerland","WLD"," World",1997,"Export",6,0.075
"H1","CHE","2615","Switzerland","WLD"," World",1997,"Export",6,0.251
"H1","CHE","2616","Switzerland","WLD"," World",1997,"Export",6,158.199
"H1","CHE","2617","Switzerland","WLD"," World",1997,"Export",6,0.282
"H1","CHE","2618","Switzerland","WLD"," World",1997,"Export",6,112.052
"H1","CHE","2619","Switzerland","WLD"," World",1997,"Export",6,357.179
"H1","CHE","2620","Switzerland","WLD"," World",1997,"Export",6,6179.938
"H1","CHE","2621","Switzerland","WLD"," World",1997,"Export",6,115.898
"H1","CHE","2701","Switzerland","WLD"," World",1997,"Export",6,22.48
"H1","CHE","2703","Switzerland","WLD"," World",1997,"Export",6,107.1
"H1","CHE","2704","Switzerland","WLD"," World",1997,"Export",6,7.136
"H1","CHE","2705","Switzerland","WLD"," World",1997,"Export",6,297.914
"H1","CHE","2706","Switzerland","WLD"," World",1997,"Export",6,0.037
"H1","CHE","2707","Switzerland","WLD"," World",1997,"Export",6,74.393
"H1","CHE","2708","Switzerland","WLD"," World",1997,"Export",6,182.417
"H1","CHE","2709","Switzerland","WLD"," World",1997,"Export",6,3.305
"H1","CHE","2710","Switzerland","WLD"," World",1997,"Export",6,164031.68
"H1","CHE","2711","Switzerland","WLD"," World",1997,"Export",6,12313.043
"H1","CHE","2712","Switzerland","WLD"," World",1997,"Export",6,903.187
"H1","CHE","2713","Switzerland","WLD"," World",1997,"Export",6,324.786
"H1","CHE","2714","Switzerland","WLD"," World",1997,"Export",6,0.32
"H1","CHE","2715","Switzerland","WLD"," World",1997,"Export",6,2498.821
"H1","CHE","2801","Switzerland","WLD"," World",1997,"Export",6,1606.863
"H1","CHE","2802","Switzerland","WLD"," World",1997,"Export",6,6.664
"H1","CHE","2803","Switzerland","WLD"," World",1997,"Export",6,137.399
"H1","CHE","2804","Switzerland","WLD"," World",1997,"Export",6,20527.55
"H1","CHE","2805","Switzerland","WLD"," World",1997,"Export",6,462.657
"H1","CHE","2806","Switzerland","WLD"," World",1997,"Export",6,2733.124
"H1","CHE","2807","Switzerland","WLD"," World",1997,"Export",6,2845.455
"H1","CHE","2808","Switzerland","WLD"," World",1997,"Export",6,118.21
"H1","CHE","2809","Switzerland","WLD"," World",1997,"Export",6,5060.524
"H1","CHE","2810","Switzerland","WLD"," World",1997,"Export",6,37.531
"H1","CHE","2811","Switzerland","WLD"," World",1997,"Export",6,15626.784
"H1","CHE","2812","Switzerland","WLD"," World",1997,"Export",6,7642.393
"H1","CHE","2813","Switzerland","WLD"," World",1997,"Export",6,69.65
"H1","CHE","2814","Switzerland","WLD"," World",1997,"Export",6,225.58
"H1","CHE","2815","Switzerland","WLD"," World",1997,"Export",6,4079.399
"H1","CHE","2816","Switzerland","WLD"," World",1997,"Export",6,229.703
"H1","CHE","2817","Switzerland","WLD"," World",1997,"Export",6,43.049
"H1","CHE","2818","Switzerland","WLD"," World",1997,"Export",6,1906.149
"H1","CHE","2819","Switzerland","WLD"," World",1997,"Export",6,1543.598
"H1","CHE","2820","Switzerland","WLD"," World",1997,"Export",6,34.015
"H1","CHE","2821","Switzerland","WLD"," World",1997,"Export",6,222.111
"H1","CHE","2822","Switzerland","WLD"," World",1997,"Export",6,36.255
"H1","CHE","2823","Switzerland","WLD"," World",1997,"Export",6,500.9
"H1","CHE","2824","Switzerland","WLD"," World",1997,"Export",6,29.893
"H1","CHE","2825","Switzerland","WLD"," World",1997,"Export",6,2301.786
"H1","CHE","2826","Switzerland","WLD"," World",1997,"Export",6,621.39
"H1","CHE","2827","Switzerland","WLD"," World",1997,"Export",6,5215.63
"H1","CHE","2828","Switzerland","WLD"," World",1997,"Export",6,760.514
"H1","CHE","2829","Switzerland","WLD"," World",1997,"Export",6,2808.73
"H1","CHE","2830","Switzerland","WLD"," World",1997,"Export",6,415.029
"H1","CHE","2831","Switzerland","WLD"," World",1997,"Export",6,799.255
"H1","CHE","2832","Switzerland","WLD"," World",1997,"Export",6,239.407
"H1","CHE","2833","Switzerland","WLD"," World",1997,"Export",6,1110.391
"H1","CHE","2834","Switzerland","WLD"," World",1997,"Export",6,355.142
"H1","CHE","2835","Switzerland","WLD"," World",1997,"Export",6,8321.049
"H1","CHE","2836","Switzerland","WLD"," World",1997,"Export",6,856.098
"H1","CHE","2837","Switzerland","WLD"," World",1997,"Export",6,83.289
"H1","CHE","2838","Switzerland","WLD"," World",1997,"Export",6,73.117
"H1","CHE","2839","Switzerland","WLD"," World",1997,"Export",6,2198.841
"H1","CHE","2840","Switzerland","WLD"," World",1997,"Export",6,152.22
"H1","CHE","2841","Switzerland","WLD"," World",1997,"Export",6,1472.568
"H1","CHE","2842","Switzerland","WLD"," World",1997,"Export",6,2631.094
"H1","CHE","2843","Switzerland","WLD"," World",1997,"Export",6,145810.464
"H1","CHE","2844","Switzerland","WLD"," World",1997,"Export",6,9184.341
"H1","CHE","2845","Switzerland","WLD"," World",1997,"Export",6,1411.191
"H1","CHE","2846","Switzerland","WLD"," World",1997,"Export",6,241.788
"H1","CHE","2847","Switzerland","WLD"," World",1997,"Export",6,149.403
"H1","CHE","2848","Switzerland","WLD"," World",1997,"Export",6,18.171
"H1","CHE","2849","Switzerland","WLD"," World",1997,"Export",6,5578.948
"H1","CHE","2850","Switzerland","WLD"," World",1997,"Export",6,876.218
